Date,Month,Quarter,Day_of_Week,Season,Holiday_Flag,Customer_ID,Age,Gender,Income_Level,Location,Region,Customer_Tenure,Customer_Segment,Channel,Campaign_Name,Campaign_Type,Impressions,Clicks,CTR,Cost_per_Click,Total_Spend,Website_Visits,Pages_Per_Visit,Time_on_Site,Bounce_Rate,Social_Media_Interactions,Conversions,Product_Category,Purchase_Frequency,Average_Order_Value,Conversion_Value,Conversion_Rate,Customer_Satisfaction_Score,NPS_Score,Churn_Risk,LTV,Competitor_Activity_Index
2023-05-03,5,2,Wednesday,Spring,No,CUST-102423,30.0,Male,Low,Suburban,East,83,Basic,Email,Loyalty_Boost,Retention,39469.0,3624.0,0.0918,0.92,3334.08,475.0,5.49,8.36,26.51,137.0,0,Health & Beauty,9.0,68.43,0.0,0.0,7.0,0.0,Low,864.18,7.11
2023-08-10,8,3,Thursday,Summer,No,CUST-104454,44.0,M,Low,Suburban,East,73,Standard,Social Media,Holiday_Rush,Retention,19591.0,2635.0,0.1345,1.35,3557.25,438.0,10.54,14.95,59.21,804.0,0,Apparel,18.0,64.51,0.0,0.0,2.0,0.0,Medium,1493.25,68.79
2023-06-07,6,2,Wednesday,Summer,No,CUST-103136,19.0,Male,Mid,Suburban,West,87,Premium,Display Ads,Back_to_School,Acquisition,48255.0,4861.0,0.1007,2.47,12006.67,84.0,5.6,8.39,20.36,477.0,0,Sports,2.0,53.09,0.0,0.0,,2.0,High,140.77,33.91
2023-08-10,8,3,Thursday,Summer,No,CUST-104456,59.0,F,High,Suburban,West,14,Basic,Display Ads,Spring_Sale,Acquisition,4633.0,569.0,0.1228,4.92,2799.48,478.0,4.88,6.28,87.97,684.0,0,Home & Garden,10.0,69.72,0.0,0.0,3.0,10.0,Low,649.26,64.46
2023-08-28,8,3,Monday,Summer,No,CUST-104831,33.0,Female,Mid,Rural,West,9,Basic,Paid Search,Spring_Sale,Acquisition,34059.0,1562.0,0.0459,2.69,4201.78,437.0,1.52,7.88,78.74,922.0,0,Health & Beauty,3.0,37.12,0.0,0.0,6.0,4.0,Low,107.47,62.5
2023-02-02,2,1,Thursday,Winter,No,CUST-100603,68.0,Female,High,Suburban,West,60,Basic,Direct,Loyalty_Boost,Retention,5708.0,158.0,0.0277,2.93,462.94,200.0,9.7,9.11,86.4,564.0,0,Sports,14.0,52.6,0.0,0.0,4.0,0.0,Low,678.87,29.82
2023-11-02,11,4,Thursday,Fall,No,CUST-106197,27.0,Female,Mid,Urban,West,18,Basic,Email,Holiday_Rush,Retention,31765.0,3979.0,0.1253,2.8,11141.2,108.0,9.29,2.64,69.09,840.0,0,Apparel,2.0,97.92,0.0,0.0,1.0,0.0,Low,168.72,14.93
2023-08-25,8,3,Friday,Summer,No,CUST-104769,54.0,Female,Mid,Urban,South,105,Premium,Email,Spring_Sale,Acquisition,18416.0,1628.0,0.0884,1.62,2637.36,352.0,1.59,0.72,44.25,911.0,0,Health & Beauty,4.0,79.8,0.0,0.0,1.0,10.0,High,454.16,27.09
2023-11-02,11,4,Thursday,Fall,No,CUST-106208,55.0,Female,Mid,Urban,West,3,Basic,Social Media,Loyalty_Boost,Retention,47511.0,2245.0,0.0473,3.96,8890.2,473.0,5.85,1.36,57.3,440.0,0,Apparel,18.0,58.86,0.0,0.0,8.0,4.0,Medium,1374.18,29.63
2023-03-01,3,1,Wednesday,Spring,No,CUST-101175,54.0,Male,Low,Urban,South,43,Basic,Paid Search,Summer_Blast,Branding,27499.0,930.0,0.0338,1.47,1367.1,67.0,6.87,1.93,69.77,569.0,0,Electronics,2.0,195.36,0.0,0.0,1.0,8.0,Medium,509.85,83.29
2023-07-30,7,3,Sunday,Summer,No,CUST-104230,46.0,Female,Low,Rural,North,43,Premium,Email,Back_to_School,Acquisition,1734.0,51.0,0.0294,3.78,192.78,315.0,,4.01,32.32,995.0,0,Health & Beauty,14.0,54.32,0.0,0.0,4.0,3.0,High,810.61,2.89
2023-05-13,5,2,Saturday,Spring,No,CUST-102633,57.0,Male,Low,Urban,North,46,Standard,Social Media,Summer_Blast,Branding,22973.0,959.0,0.0417,2.1,2013.9,44.0,9.07,9.43,65.92,506.0,0,Home & Garden,18.0,120.34,0.0,0.0,10.0,5.0,Medium,3226.6,93.43
2023-02-14,2,1,Tuesday,Winter,No,CUST-100858,54.0,Male,Mid,Urban,East,119,Standard,Email,Summer_Blast,Branding,25509.0,3274.0,0.1283,4.68,15322.32,426.0,9.48,22.64,59.71,236.0,1,Apparel,14.0,72.0,72.0,0.0023,8.0,3.0,Medium,1505.21,51.56
2023-06-27,6,2,Tuesday,Summer,No,CUST-103566,32.0,Male,Mid,Suburban,East,63,Standard,Paid Search,Spring_Sale,Acquisition,22386.0,294.0,0.0131,4.58,1346.52,488.0,2.04,5.23,26.37,744.0,1,Electronics,1.0,171.52,171.52,0.002,9.0,6.0,Low,145.02,81.63
2023-11-12,11,4,Sunday,Fall,No,CUST-106425,26.0,Female,Mid,Suburban,West,8,Basic,Paid Search,Back_to_School,Acquisition,40900.0,938.0,0.0229,4.26,3995.88,252.0,5.19,8.17,83.46,217.0,0,Apparel,7.0,113.52,0.0,0.0,1.0,5.0,Low,795.8,47.85
2023-01-28,1,1,Saturday,Winter,No,CUST-100524,46.0,Female,Mid,Urban,East,69,Standard,Social Media,Loyalty_Boost,Retention,8019.0,197.0,0.0246,4.43,872.71,84.0,5.21,,48.76,540.0,0,Home & Garden,10.0,151.19,0.0,0.0,6.0,0.0,Low,2084.83,5.06
2023-07-02,7,3,Sunday,Summer,No,CUST-103652,55.0,Female,,Suburban,North,93,Basic,Paid Search,Loyalty_Boost,Retention,41950.0,3005.0,0.0716,2.86,8594.3,282.0,10.06,29.75,41.83,652.0,0,Home & Garden,10.0,61.83,0.0,0.0,2.0,,Low,766.09,78.17
2023-09-24,9,3,Sunday,Fall,No,CUST-105374,34.0,Female,Low,Urban,East,106,Standard,Email,Back_to_School,Acquisition,23943.0,1247.0,0.0521,1.99,2481.53,130.0,8.84,3.53,29.15,871.0,0,Health & Beauty,18.0,53.31,0.0,0.0,5.0,5.0,Medium,1434.59,87.61
2023-08-14,8,3,Monday,Summer,No,CUST-104523,24.0,Female,Low,Suburban,West,54,Standard,Referral,Summer_Blast,Branding,5481.0,73.0,0.0133,1.17,85.41,250.0,11.35,1.03,43.93,773.0,0,Health & Beauty,15.0,67.33,0.0,0.0,1.0,2.0,High,991.19,3.28
2023-04-19,4,2,Wednesday,Spring,No,CUST-102137,48.0,Male,Mid,Urban,West,2,Standard,Email,Loyalty_Boost,Retention,45197.0,4405.0,0.0975,4.63,20395.15,274.0,11.25,8.94,89.59,488.0,0,Apparel,18.0,25.75,0.0,0.0,8.0,9.0,Medium,504.05,28.85
2023-08-12,8,3,Saturday,Summer,No,CUST-104484,28.0,F,Low,Urban,East,117,Standard,Email,Loyalty_Boost,Retention,2643.0,194.0,0.0734,1.6,310.4,457.0,3.24,4.01,,681.0,0,Electronics,3.0,79.19,0.0,0.0,6.0,,High,327.47,66.11
2023-11-21,11,4,Tuesday,Fall,No,CUST-106596,51.0,Male,Mid,Urban,West,114,Standard,Display Ads,Holiday_Rush,Retention,6194.0,76.0,0.0123,3.48,264.48,328.0,9.25,4.48,86.66,,0,Apparel,12.0,211.64,0.0,0.0,8.0,8.0,Low,3760.63,41.83
